alpha,delta,epsilon,profit,inventory_2020,herfindahl_2020
0.75,0.02,0.1,1.305459602573e11,-0.0,0.502907658497066
0.75,0.02,0.25,1.086484178045e11,-0.0,0.5029271678598064
0.75,0.02,0.5,7.8625088186e10,-0.0,0.5029422157927305
0.75,0.03,0.0,1.380792791816e11,-0.0,0.5032650552547705
0.75,0.03,0.1,1.311196512356e11,-0.0,0.5038010768076812
0.75,0.03,0.25,1.1048599811480002e11,-0.0,0.503746550905977
0.75,0.03,0.5,8.05589447379e10,-0.0,0.5034122459190684
0.75,0.04,0.0,1.380673511604e11,-0.0,0.5042917924823453
0.75,0.04,0.1,1.303474715798e11,-0.0,0.5046488583216756
0.75,0.04,0.25,1.132581044101e11,-0.0,0.5044079675787375
0.75,0.04,0.5,7.80633194218e10,-0.0,0.504057798498825
0.75,0.05,0.0,1.3782302557180002e11,2.816488e6,0.49178540255146297
0.75,0.05,0.1,1.31465046798e11,-0.0,0.5054733175434887
0.75,0.05,0.25,1.1246210374889998e11,2.471492e6,0.4932268052369304
0.75,0.05,0.5,8.1825608468e10,3.245776e6,0.4898445460771248
0.75,0.06,0.0,1.376998997999e11,4.192492e6,0.47995302515837557
0.75,0.06,0.1,1.3114734084030002e11,2.952481e6,0.4860553650720266
0.75,0.06,0.25,1.101705860928e11,8.79208e6,0.4627815414918479
0.75,0.06,0.5,8.076820097190001e10,1.0150225e7,0.4523376843780578
0.75,0.07,0.0,1.3675131309580002e11,1.5661646e7,0.42412990138502604
0.75,0.07,0.1,1.311496820603e11,1.7874586e7,0.41619125890909625
0.75,0.07,0.25,1.1050672003290001e11,9.808901e6,0.4446666874133527
0.75,0.07,0.5,8.33065971905e10,1.3498379e7,0.432195914311212
0.75,0.08,0.0,1.3590559631020001e11,2.5915123e7,0.39017020562125365
0.75,0.08,0.1,1.295724738744e11,2.3504935e7,0.39508065805655335
0.75,0.08,0.25,1.0826934224919998e11,2.3450972e7,0.4023661935422028
